Date,GOOG,NKE,LMT,CAT,TSLA,AMZN,TMO,CSIQ,HPE,MU,DELL,AMD,BHC,ROK,TTWO
2016-01-04,741.8400268554688,58.54081344604492,192.079345703125,59.51036834716797,223.41000366210938,636.989990234375,137.02273559570312,27.979999542236328,7.929799556732178,14.329999923706055,,2.7699999809265137,98.5,92.91349029541016,34.16999816894531
2016-01-05,742.5800170898438,59.359161376953125,196.62884521484375,58.888919830322266,223.42999267578125,633.7899780273438,136.78573608398438,27.5,7.877388000488281,14.819999694824219,,2.75,100.86000061035156,92.08064270019531,34.75
2016-01-06,743.6199951171875,58.51227569580078,196.0613250732422,57.96113204956055,219.0399932861328,632.6500244140625,135.73892211914062,27.280000686645508,7.756842613220215,14.220000267028809,,2.509999990463257,102.4000015258789,89.61868286132812,34.0099983215332
2016-01-07,726.3900146484375,56.95167541503906,192.1514129638672,55.96548080444336,215.64999389648438,607.9400024414062,132.6380157470703,22.989999771118164,7.185561180114746,13.65999984741211,,2.2799999713897705,97.38999938964844,85.50931549072266,32.41999816894531
2016-01-08,714.469970703125,56.01913833618164,191.80908203125,55.39654541015625,211.0,607.0499877929688,132.4898681640625,23.5,7.096462726593018,13.329999923706055,,2.140000104904175,91.05999755859375,85.54594421386719,32.34000015258789
2016-01-11,716.030029296875,56.66621017456055,194.0072784423828,53.80353927612305,207.85000610351562,617.739990234375,133.20091247558594,22.360000610351562,6.949710845947266,12.529999732971191,,2.3399999141693115,85.44999694824219,85.52764129638672,32.77000045776367
2016-01-12,726.0700073242188,57.037330627441406,196.3585968017578,53.917320251464844,209.97000122070312,617.8900146484375,135.26490783691406,21.719999313354492,6.949710845947266,12.720000267028809,,2.390000104904175,87.91000366210938,86.32388305664062,33.619998931884766
2016-01-13,700.5599975585938,55.93349838256836,193.15139770507812,53.29587936401367,200.30999755859375,581.8099975585938,132.10472106933594,20.6299991607666,6.6824140548706055,12.0600004196167,,2.25,85.54000091552734,85.08832550048828,32.5
2016-01-14,714.719970703125,55.676578521728516,194.97122192382812,54.503761291503906,206.17999267578125,593.0,134.09957885742188,20.280000686645508,6.813441753387451,12.020000457763672,,2.2100000381469727,89.7699966430664,84.74055480957031,32.689998626708984
2016-01-15,694.4500122070312,54.772579193115234,194.58383178710938,53.0591926574707,204.99000549316406,570.1799926757812,131.10728454589844,18.790000915527344,6.572350978851318,11.079999923706055,,2.0299999713897705,88.69999694824219,83.90768432617188,32.58000183105469
2016-01-19,701.7899780273438,55.49577713012695,193.9532012939453,52.99634552001953,204.72000122070312,574.47998046875,133.2305145263672,18.739999771118164,6.4570465087890625,10.800000190734863,,1.9500000476837158,88.9800033569336,83.52328491210938,32.5
2016-01-20,698.4500122070312,56.180904388427734,189.54783630371094,52.798831939697266,198.6999969482422,571.77001953125,131.39369201660156,18.110000610351562,6.320777416229248,10.050000190734863,,1.7999999523162842,89.3499984741211,82.10469818115234,32.619998931884766
2016-01-21,706.5900268554688,57.627296447753906,189.89915466308594,53.58888626098633,199.97000122070312,575.02001953125,130.0407257080078,19.030000686645508,6.504216194152832,10.850000381469727,,2.0899999141693115,90.2699966430664,82.42503356933594,32.970001220703125
2016-01-22,725.25,57.93179702758789,191.0253143310547,54.747032165527344,202.5500030517578,596.3800048828125,133.62554931640625,19.959999084472656,6.996880054473877,11.069999694824219,,2.0199999809265137,88.5999984741211,83.81616973876953,33.630001068115234
2016-01-25,711.6699829101562,57.760520935058594,190.09738159179688,51.99082565307617,196.3800048828125,596.530029296875,133.05276489257812,19.389999389648438,6.991639614105225,10.479999542236328,,2.119999885559082,92.62999725341797,82.97415161132812,33.61000061035156
2016-01-26,713.0399780273438,58.150672912597656,189.12442016601562,53.113067626953125,193.55999755859375,601.25,132.4306182861328,20.15999984741211,7.127909183502197,10.550000190734863,,2.069999933242798,98.56999969482422,86.46117401123047,34.27000045776367
2016-01-27,699.989990234375,56.694759368896484,187.2595672607422,52.358924865722656,188.07000732421875,583.3499755859375,134.1390838623047,19.8700008392334,7.01784610748291,10.390000343322754,,2.130000114440918,94.43000030517578,85.91205596923828,33.7400016784668
2016-01-28,730.9600219726562,58.236305236816406,186.1785125732422,54.83680725097656,189.6999969482422,635.3499755859375,126.5744400024414,19.3799991607666,6.913022041320801,9.890000343322754,,2.0799999237060547,86.12000274658203,85.2347640991211,33.61000061035156
2016-01-29,742.9500122070312,59.00707244873047,190.08837890625,55.87824249267578,191.1999969482422,587.0,130.41600036621094,20.170000076293945,7.211765766143799,11.029999732971191,,2.200000047683716,90.22000122070312,87.46791076660156,34.70000076293945
2016-02-01,752.0,60.10139083862305,189.00730895996094,56.29122543334961,196.94000244140625,574.8099975585938,129.0631103515625,20.40999984741211,7.227490425109863,10.960000038146973,,2.140000104904175,95.6500015258789,86.46117401123047,34.619998931884766
2016-02-02,764.6500244140625,59.52093505859375,189.5928955078125,54.468711853027344,182.77999877929688,552.0999755859375,125.31037139892578,19.459999084472656,7.04929256439209,10.59000015258789,,1.9900000095367432,91.44999694824219,84.86869049072266,33.439998626708984
2016-02-03,726.9500122070312,59.463836669921875,191.81809997558594,56.80295944213867,173.47999572753906,531.0700073242188,124.4808349609375,19.190000534057617,7.0073628425598145,10.760000228881836,,2.069999933242798,94.19000244140625,87.00114440917969,32.83000183105469
2016-02-04,708.010009765625,57.25618362426758,189.3766632080078,59.21800231933594,175.3300018310547,536.260009765625,126.20904541015625,20.1200008392334,7.258936882019043,11.229999542236328,,2.0899999141693115,96.94000244140625,90.27764129638672,35.08000183105469
