Date,GOOG,NKE,LMT,CAT,TSLA,AMZN,TMO,CSIQ,HPE,AMD,BHC,ROK,TTWO,DELL,MU,Risk_Free
2017-01-03,786.1400146484375,50.19075393676758,234.6913604736328,86.78595733642578,216.99000549316406,753.6699829101562,142.46939086914062,12.670000076293945,12.43686294555664,11.430000305175781,15.239999771118164,130.15997314453125,49.220001220703125,30.215946197509766,22.549999237060547,7.142857142857143e-05
2017-01-04,786.9000244140625,51.24323654174805,235.3213653564453,86.39813232421875,226.99000549316406,757.1799926757812,143.9469757080078,12.850000381469727,12.570881843566895,11.430000305175781,15.569999694824219,129.61505126953125,50.13999938964844,30.454042434692383,22.360000610351562,7.142857142857143e-05
2017-01-05,794.02001953125,51.233577728271484,237.1650848388672,85.871826171875,226.75,780.4500122070312,144.16514587402344,12.720000267028809,12.62984848022461,11.239999771118164,15.710000038146973,129.40838623046875,49.36000061035156,30.603544235229492,22.110000610351562,7.142857142857143e-05
2017-01-06,806.1500244140625,52.05431365966797,238.89767456054688,85.90875244140625,229.00999450683594,795.989990234375,146.03932189941406,12.699999809265137,12.383257865905762,11.319999694824219,15.289999961853027,130.1317901611328,49.95000076293945,31.44518280029297,22.040000915527344,7.142857142857143e-05
2017-01-09,806.6500244140625,51.542564392089844,238.86058044433594,85.29011535644531,231.27999877929688,796.9199829101562,146.2575225830078,12.609999656677246,12.093777656555176,11.489999771118164,15.350000381469727,129.94387817382812,50.459999084472656,31.279069900512695,22.34000015258789,7.142857142857143e-05
2017-01-10,804.7899780273438,51.281864166259766,237.3411407470703,86.63821411132812,229.8699951171875,795.9000244140625,146.54507446289062,12.579999923706055,12.302846908569336,11.4399995803833,16.399999618530273,131.09010314941406,50.810001373291016,31.555925369262695,22.479999542236328,7.142857142857143e-05
2017-01-11,807.9099731445312,50.876312255859375,236.37757873535156,87.39537048339844,229.72999572753906,799.02001953125,144.99810791015625,12.84000015258789,12.2009916305542,11.199999809265137,15.329999923706055,133.09127807617188,51.11000061035156,31.882614135742188,22.790000915527344,7.142857142857143e-05
2017-01-12,806.3599853515625,50.596290588378906,234.0520477294922,86.78595733642578,229.58999633789062,813.6400146484375,144.75018310546875,12.399999618530273,12.195631980895996,10.760000228881836,15.630000114440918,132.24569702148438,50.869998931884766,31.915836334228516,22.309999465942383,7.142857142857143e-05
2017-01-13,807.8800048828125,51.098388671875,235.82164001464844,87.23839569091797,237.75,817.1400146484375,145.06752014160156,12.449999809265137,12.2974853515625,10.579999923706055,15.329999923706055,133.40130615234375,51.61000061035156,32.20930099487305,22.18000030517578,7.142857142857143e-05
2017-01-17,804.6099853515625,51.80327606201172,235.44180297851562,86.39813232421875,235.5800018310547,809.719970703125,143.837890625,12.630000114440918,12.163468360900879,9.819999694824219,15.239999771118164,131.19345092773438,51.400001525878906,32.081947326660156,21.739999771118164,7.142857142857143e-05
