Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,30.129999,31.430000,29.980000,31.110001,30.991205,949900
2018-12-10,31.110001,32.209999,31.110001,31.910000,31.788149,995900
2018-12-11,32.360001,32.849998,31.610001,32.570000,32.445625,1153600
2018-12-12,33.209999,33.369999,32.279999,32.709999,32.585091,1100800
2018-12-13,32.840000,33.419998,32.470001,33.389999,33.262497,826200
2018-12-14,33.099998,33.099998,31.340000,31.740000,31.618797,969100
2018-12-17,31.990000,33.000000,31.830000,32.560001,32.435665,1659000
2018-12-18,32.500000,34.240002,32.369999,34.180000,34.049480,1445200
2018-12-19,34.230000,34.450001,32.349998,32.459999,32.336048,1569200
2018-12-20,33.360001,34.000000,32.630001,33.599998,33.471695,1270600
2018-12-21,33.599998,34.049999,32.900002,33.730000,33.601196,3043500
2018-12-24,34.000000,34.750000,33.820000,34.750000,34.617302,673600
2018-12-27,34.750000,35.560001,34.650002,35.439999,35.304665,735900
2018-12-28,35.450001,35.639999,34.430000,34.450001,34.357231,902600
2018-12-31,34.689999,35.599998,34.200001,35.599998,35.504131,958500
2019-01-02,35.759998,35.900002,35.099998,35.400002,35.304668,758200
2019-01-03,35.509998,36.119999,35.419998,36.099998,36.002785,661100
2019-01-04,35.110001,35.380001,34.169998,34.750000,34.656422,1007900
2019-01-07,35.209999,35.250000,32.950001,33.130001,33.040779,874500
2019-01-08,33.439999,34.540001,32.810001,34.419998,34.327309,903700
2019-01-09,34.580002,35.500000,34.430000,35.480000,35.384449,873600
2019-01-10,35.480000,35.509998,34.830002,35.259998,35.165047,741000
2019-01-11,35.520000,35.770000,35.000000,35.220001,35.125153,557300
2019-01-14,35.330002,35.950001,34.849998,35.860001,35.763432,496400
2019-01-15,35.849998,35.889999,34.709999,35.119999,35.025421,600700
2019-01-16,35.270000,35.529999,34.810001,35.330002,35.234859,345400
2019-01-17,35.439999,36.000000,35.270000,35.869999,35.773399,717800
2019-01-18,35.500000,35.750000,34.880001,34.939999,34.845905,834800
2019-01-21,34.700001,35.470001,34.430000,35.290001,35.194965,137700
2019-01-22,35.500000,36.939999,35.180000,36.919998,36.820572,751000
2019-01-23,36.790001,37.150002,36.060001,36.880001,36.780682,593400
2019-01-24,36.849998,38.150002,36.610001,37.570000,37.468822,722300
2019-01-25,38.150002,38.669998,37.889999,38.660000,38.555889,640200
2019-01-28,38.840000,40.130001,38.279999,40.049999,39.942142,891900
2019-01-29,40.700001,40.970001,39.849998,40.230000,40.121658,815500
2019-01-30,39.959999,41.630001,39.680000,41.130001,41.019241,700500
2019-01-31,41.680000,42.270000,41.169998,42.270000,42.156166,716900
2019-02-01,41.980000,42.369999,40.840000,42.250000,42.136219,984700
2019-02-04,41.650002,43.090000,41.470001,42.389999,42.275845,711800
2019-02-05,42.490002,43.549999,42.389999,43.520000,43.402805,659100
2019-02-06,43.369999,44.040001,43.070000,43.740002,43.622211,783500
2019-02-07,43.910000,44.250000,42.509998,43.369999,43.253204,953200
2019-02-08,43.340000,44.500000,43.200001,44.230000,44.110889,602200
2019-02-11,43.630001,44.650002,43.230000,43.650002,43.532452,607100
2019-02-12,43.660000,43.849998,42.599998,42.970001,42.854282,809100
2019-02-13,42.900002,43.490002,42.730000,43.119999,43.003876,648200
2019-02-14,43.310001,44.330002,43.299999,44.250000,44.130836,649000
2019-02-15,44.299999,44.650002,43.700001,44.490002,44.370193,572700
2019-02-19,45.160000,46.000000,44.860001,45.110001,44.988522,835100
2019-02-20,45.320000,45.410000,43.490002,44.009998,43.891479,849300
2019-02-21,46.910000,48.160000,45.730000,47.720001,47.591492,1818800
2019-02-22,47.270000,47.270000,45.130001,45.790001,45.666695,1828000
2019-02-25,46.000000,47.799999,45.959999,47.740002,47.611439,1231500
2019-02-26,47.900002,48.060001,46.650002,48.020000,47.890682,827600
2019-02-27,47.830002,48.099998,46.959999,47.540001,47.411976,899300
2019-02-28,47.400002,48.299999,47.169998,48.119999,47.990410,1110800
2019-03-01,47.860001,48.480000,46.820000,46.919998,46.793644,919200
2019-03-04,46.009998,46.009998,42.910000,45.419998,45.297684,1888600
2019-03-05,45.110001,46.279999,45.049999,45.919998,45.796341,785900
2019-03-06,45.910000,46.610001,44.990002,46.119999,45.995800,775700
2019-03-07,46.000000,47.349998,45.930000,46.639999,46.514400,915000
2019-03-08,47.680000,47.880001,46.759998,46.880001,46.753754,1070400
2019-03-11,46.950001,46.950001,46.099998,46.669998,46.544315,707000
2019-03-12,46.970001,47.580002,46.810001,47.580002,47.451870,713600
2019-03-13,47.910000,48.139999,46.889999,47.110001,46.983135,791400
2019-03-14,46.400002,46.619999,45.599998,45.740002,45.616829,653100
2019-03-15,45.900002,46.040001,44.230000,44.590000,44.469925,1946100
2019-03-18,44.610001,44.930000,43.139999,43.669998,43.552399,844500
2019-03-19,43.790001,44.200001,43.299999,43.790001,43.672073,842100
2019-03-20,43.820000,44.320000,42.830002,44.029999,43.911427,1110900
2019-03-21,44.139999,44.939999,43.779999,44.660000,44.539734,626100
2019-03-22,44.459999,45.950001,44.459999,45.459999,45.337578,847300
2019-03-25,45.720001,45.970001,43.410000,44.360001,44.240540,1067700
2019-03-26,44.310001,45.150002,43.750000,44.630001,44.509815,846500
2019-03-27,44.549999,44.580002,43.750000,43.810001,43.692024,700100
2019-03-28,42.709999,42.709999,41.160000,41.340000,41.266350,1361400
2019-03-29,41.150002,41.709999,40.580002,40.639999,40.567596,954800
2019-04-01,40.450001,41.000000,39.009998,39.430000,39.359753,1014700
2019-04-02,38.799999,41.560001,38.799999,41.400002,41.326244,837600
2019-04-03,41.250000,42.419998,41.099998,41.889999,41.815369,956800
